"name" "longitude" "latitude" "elevation" "type" "subtype" "locality" "county" "province" "country"
"195" "G008b" -3.36004488832707 37.1188470281003 1852 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"196" "G025b" -3.3554852569486 37.117270923805 1932 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"197" "G025a" -3.35529273293981 37.1170191098578 1936 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"198" "G022b" -3.35440611083443 37.1187794867444 1865 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"199" "G012a" -3.3600606111515 37.1171257874459 1941 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"200" "G034b" -3.35331202568766 37.1143071839668 1896 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"201" "G034a" -3.35302096585093 37.1140841844755 1896 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"202" "G033b" -3.35292674560014 37.1147012085336 1874 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"203" "G033a" -3.35269641902507 37.1144272422969 1880 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"204" "G028b" -3.35181731831961 37.1157609070298 1812 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"205" "G028a" -3.35172294492943 37.1154221982363 1820 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"206" "G035b" -3.3537939767802 37.1139208727564 1925 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"207" "G032a" -3.35233255961636 37.1148347253199 1853 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"208" "C001" -3.36541029699604 37.1256465090499 1621 "MH" "AC-e" "SJ" "Güejar-Sierra" "Granada" "Spain"
"209" "C003" -3.36413097926967 37.126553792417 1578 "MH" "AC-e" "SJ" "Güejar-Sierra" "Granada" "Spain"
"210" "C004" -3.35650214782499 37.1235608754749 1658 "MH" "AC-e" "SJ" "Güejar-Sierra" "Granada" "Spain"
"211" "A017" -3.35713096546751 37.1224283766576 1681 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"212" "A019" -3.35454384962182 37.1250908676509 1660 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"213" "A016" -3.35458436584476 37.1229722877605 1708 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"214" "A014" -3.35462780623112 37.1242282569749 1672 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"215" "A012" -3.35557159724128 37.1239859906741 1673 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"216" "A011" -3.3556195506955 37.1233479276709 1693 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"217" "A003" -3.36493748288309 37.1259125099621 1607 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"218" "A002" -3.36439343272344 37.125614638544 1612 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"219" "A001" -3.36466831584675 37.1250309109648 1640 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"220" "A005" -3.36518603933148 37.1250640526602 1649 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"221" "A007" -3.35401084610655 37.1227936663198 1709 "MH" "AC-i" "SJ" "Güejar-Sierra" "Granada" "Spain"
"222" "A024" -3.36588750781484 37.1255908553088 1629 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"223" "A028" -3.35695998880776 37.1244276823563 1604 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"224" "A027" -3.35758301867675 37.1235805832482 1613 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"252" "G001b" -3.35968481343802 37.1205033380589 1770 "AM" "TE" "SJ" "Güejar-Sierra" "Granada" "Spain"
"258" "A040" -3.35383314437937 37.1256665592942 1629 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"259" "A041" -3.35288953681785 37.1203900213398 1746 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"260" "A036" -3.35707504947991 37.1214486259346 1720 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"261" "A037" -3.35877271592805 37.1210336140966 1729 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"262" "A038" -3.35969177777591 37.1227498782944 1652 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"263" "A039" -3.36041112296344 37.123520755004 1583 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"264" "A035" -3.36372426370482 37.1243700753552 1615 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"265" "A034" -3.36453481726756 37.1278258291228 1507 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"266" "A033" -3.36543269998425 37.1272641999597 1527 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"267" "A032" -3.3660528423646 37.1263023011781 1571 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"268" "A031" -3.36700236680414 37.12478502182 1674 "FO" "F" "SJ" "Güejar-Sierra" "Granada" "Spain"
"278" "T051" -3.42418913737503 36.9714178150951 2099 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"279" "T052" -3.42695262835178 36.9700055946616 2105 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"280" "T055" -3.42606106403231 36.9724738547393 2149 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
"281" "T056" -3.4279738478125 36.971022818356 2137 "AM" "TE" "CA" "Cáñar" "Granada" "Spain"
