"","PROVINCIA","ESTADILLO","NUMORDEN","ESPECIE","FRACCAB","ALTUMED"
"656",18,482,1,"114","2","10"
"657",18,482,2,"104","2","3"
"658",18,482,3,"129","2","2"
"659",18,483,1,"129","10","2"
"660",18,483,2,"104","5","3"
"661",18,483,3,"103","5","5"
"662",18,484,1,"104","15","4"
"663",18,484,2,"129","5","2"
"664",18,487,1,"129","15","2"
"665",18,487,2,"127","2","3"
"666",18,487,3,"103","2","5"
"667",18,488,1,"104","15","4"
"668",18,488,2,"129","10","2"
"669",18,488,3,"117","5","5"
"670",18,488,4,"127","2","9"
"671",18,489,1,"129","15","2"
"672",18,489,2,"104","1","3"
"673",18,491,1,"105","10","10"
"674",18,491,2,"129","8","2"
"675",18,491,3,"104","3","10"
"676",18,492,1,"129","15","2"
"677",18,492,2,"103","10","18"
"678",18,492,3,"104","3","3"
"679",18,492,4,"127","3","2"
"680",18,492,5,"105","1","3"
"681",18,493,1,"129","10","2"
"682",18,493,2,"103","5","3"
"683",18,493,3,"105","2","10"
"684",18,494,1,"129","20","2"
"685",18,494,2,"104","5","3"
"686",18,496,1,"129","10","2"
"687",18,496,2,"105","5","15"
"688",18,496,3,"103","1","3"
"689",18,497,1,"129","15","2"
"690",18,497,2,"104","2","4"
"691",18,498,1,"129","10","2"
"692",18,498,2,"104","10","4"
"693",18,498,3,"103","2","4"
"694",18,500,1,"114","10","10"
"695",18,500,2,"129","10","10"
"696",18,500,3,"101","3","5"
"697",18,925,1,"114","15","3"
"698",18,925,2,"103","15","3"
"699",18,926,1,"114","20","6"
"700",18,926,2,"103","10","4"
"701",18,926,3,"117","5","1"
"702",18,926,4,"101","5","3"
"703",18,927,1,"114","25","2"
"704",18,928,1,"114","15","3"
"705",18,928,2,"103","15","3"
"706",18,929,1,"114","10","3"
"707",18,929,2,"103","10","3"
"708",18,930,1,"103","15","18"
"709",18,930,2,"114","5","6"
"710",18,930,3,"129","2","2"
"711",18,930,4,"119","2","6"
"712",18,932,1,"103","10","8"
"713",18,932,2,"129","5","2"
"714",18,938,1,"103","25","5"
"715",18,938,2,"117","10","3"
"716",18,939,1,"103","15","5"
"717",18,939,2,"128","5","3"
"718",18,939,3,"101","5","8"
"719",18,940,1,"103","25","3"
"720",18,940,2,"114","15","3"
"721",18,940,3,"101","5","3"
"722",18,940,4,"117","2","2"
"723",18,941,1,"103","30","3"
"724",18,941,2,"114","15","3"
"725",18,943,1,"103","20","4"
"726",18,943,2,"114","15","4"
"727",18,943,3,"129","15","2"
"728",18,946,1,"103","7","3"
"729",18,946,2,"114","3","3"
"730",18,946,3,"101","1","2"
"731",18,947,1,"114","4","2"
"732",18,947,2,"129","2","1"
"733",18,947,3,"128","1","2"
"734",18,947,4,"103","1","2"
"735",18,947,5,"101","1","1"
"736",18,948,1,"114","4","2"
"737",18,948,2,"103","3","3"
"738",18,948,3,"101","3","2"
"739",18,949,1,"114","5","2"
"740",18,949,2,"103","5","2"
"741",18,949,3,"101","4","2"
"742",18,949,4,"128","1","3"
"743",18,950,1,"114","7","3"
"744",18,950,2,"103","4","3"
"745",18,951,1,"101","13","3"
"746",18,951,2,"128","1","2"
"747",18,952,1,"114","15","4"
"748",18,952,2,"104","10","4"
"749",18,953,1,"129","5","3"
"750",18,955,1,"103","5","3"
"751",18,955,2,"129","3","2"
"752",18,957,1,"114","15","12"
"753",18,957,2,"103","5","4"
"754",18,958,1,"114","5","3"
"755",18,958,2,"103","2","3"
"756",18,958,3,"129","1","2"
"757",18,958,4,"128","1","2"
"758",18,959,1,"114","12","3"
"759",18,959,2,"103","12","3"
"760",18,959,3,"129","1","1"
"761",18,960,1,"103","25","6"
"762",18,960,2,"114","15","5"
"763",18,960,3,"129","5","1"
"764",18,960,4,"101","3","1"
"765",18,963,1,"103","2","2"
"766",18,963,2,"129","1","1"
"767",18,964,1,"114","10","3"
"768",18,964,2,"103","5","3"
"769",18,965,1,"114","8","3"
"770",18,965,2,"101","3","2"
"771",18,965,3,"103","2","2"
"772",18,966,1,"103","10","3"
"773",18,966,2,"114","10","3"
"774",18,966,3,"122","2","2"
"775",18,968,1,"114","20","3"
"776",18,968,2,"103","10","3"
"777",18,970,1,"128","10","2"
"778",18,970,2,"129","10","1"
"779",18,970,3,"103","5","1"
"780",18,972,1,"103","25","25"
"781",18,972,2,"129","5","3"
"782",18,972,3,"104","5","10"
"783",18,972,4,"119","5","25"
"784",18,975,1,"103","6","3"
"785",18,975,2,"114","4","2"
"786",18,975,3,"101","2","2"
"787",18,976,1,"114","8","2"
"788",18,976,2,"103","4","2"
"789",18,976,3,"101","3","2"
"790",18,978,1,"114","10","3"
"791",18,978,2,"103","8","3"
"792",18,978,3,"116","1","6"
"793",18,980,1,"129","10","3"
"794",18,980,2,"103","10","3"
"795",18,980,3,"117","5","3"
"796",18,981,1,"103","20","3"
"797",18,981,2,"129","10","1"
"798",18,983,1,"103","1","5"
"799",18,987,1,"114","15","10"
"800",18,987,2,"101","10","4"
"801",18,987,3,"129","5","2"
"802",18,987,4,"103","5","8"
"803",18,990,1,"129","15","1"
"804",18,990,2,"101","5","2"
"805",18,991,1,"104","15","10"
"806",18,991,2,"129","15","3"
"807",18,991,3,"128","15","3"
"808",18,991,4,"116","10","12"
"809",18,991,5,"103","10","3"
