"","PROVINCIA","ESTADILLO","TIPO","ST","ESPECIE","PAE","FORMA","DN","DS","CRE","HT","VCC","VSC","IAVC","VLE"
"1173",18,680,1,3,24,0,2,249.5,192.5,14,8.5,184.808053,127.444514,5.214207,0
"1174",18,680,2,3,24,0,2,221,182,19,9,163.137478,116.887854,6.891806,0
"1175",18,680,3,3,24,0,2,293,250,23,6,172.859657,136.763794,6.706372,0
"1176",18,680,4,3,24,0,2,201,165,17,9.5,136.360024,97.319898,5.673204,0
"1177",18,682,1,3,24,0,2,247.5,205.5,20,6,134.273947,101.797715,5.353083,0
"1178",18,682,3,5,24,0,5,300,238,13,6,166.275224,119.998588,3.658375,0
"1179",18,682,4,3,24,0,2,208.5,168.5,20,7,101.606342,71.128084,4.752237,0
"1180",18,682,2,3,24,0,2,331,287,11,6.5,241.086687,196.28252,4.099201,0
"1181",18,683,1,5,24,0,5,283.5,216.5,8,6,150.068771,102.950807,2.17486,0
"1182",18,683,2,4,24,0,3,166.5,129.5,14,5.5,62.128515,41.425828,2.570747,0
"1183",18,683,3,3,24,0,2,333,287,18,9,326.578318,263.965219,8.890138,0
"1184",18,683,4,5,24,0,5,226,191,13,5,91.869528,71.18655,2.654288,0
"1185",18,686,1,5,24,0,5,206,174,13,5.5,80.972994,59.81184,2.55564,0
"1186",18,686,2,3,24,0,2,246.5,202.5,13,6.5,132.488382,99.112699,3.522357,0
"1187",18,686,3,3,24,0,2,235,189,10,6.5,123.344907,89.815028,2.666547,0
"1188",18,686,4,5,24,0,5,228.5,185.5,17,6.5,105.125183,77.470326,3.877744,0
"1189",18,689,1,5,24,0,5,231,183,13,5.5,99.659223,71.163725,2.819707,0
"1190",18,689,4,5,24,0,5,242.5,216.5,10,3.5,89.299087,73.8259,1.872686,0
"1191",18,689,2,4,24,0,3,143,113,7,4.5,41.821141,28.459259,1.035001,0
"1192",18,689,3,4,24,0,3,125,110,9,3,25.710052,19.909864,0.919493,0
"1193",18,691,1,5,24,0,5,225.5,187.5,24,3.5,78.27546,59.448492,4.028763,0
"1194",18,691,2,5,24,0,5,166,128,9,3.5,44.921424,29.618005,1.226385,0
"1195",18,691,3,5,24,0,5,153.5,102.5,14,4.5,43.510339,23.518778,1.942062,0
"1196",18,691,4,5,24,0,5,145.5,128.5,24,4,37.502763,29.158712,2.855144,0
"1197",18,692,1,5,24,0,5,166.5,119.5,17,4,47.885603,28.66975,2.372438,0
"1198",18,692,2,5,24,0,5,170.5,150.5,17,4,49.991387,38.845984,2.423199,0
"1199",18,692,3,5,24,0,5,275,220,14,3,104.848108,76.49718,2.69458,0
"1200",18,692,4,3,24,0,2,291.5,231.5,26,6,156.159481,112.853268,6.827063,0
"1201",18,695,1,11,45,0,5,277,260,0,6.5,148.963145,131.23993,0,0
"1202",18,696,1,5,24,0,5,143,116,12,5.5,41.778695,29.383246,1.725485,0
"1203",18,696,2,4,24,0,3,182.5,147.5,11,6,71.28168,49.904788,2.153448,0
"1204",18,696,3,3,24,0,2,239.5,170.5,20,6.5,114.312653,70.569177,4.699674,0
"1205",18,696,4,4,24,0,3,158.5,127.5,10,6,54.906854,38.214886,1.73255,0
"1206",18,698,1,9,26,0,3,108.5,80.5,10,3,18.078851,11.325829,0.770221,0
"1207",18,698,2,9,26,0,3,95.5,76.5,10,3,13.411057,9.284994,0.643298,0
"1208",18,699,1,4,24,0,3,159,132,16,6,55.211764,39.948133,2.699047,0
"1209",18,699,2,4,24,0,3,139,113,22,5.5,36.572704,25.791065,2.68612,0
"1210",18,699,3,4,24,0,3,184,147,22,6.5,73.327472,50.597186,4.19623,0
"1211",18,699,4,9,26,0,3,145.5,107.5,16,4,38.497747,23.98148,1.931948,0
"1212",18,701,1,4,24,0,3,178,137,25,5,63.479865,41.753412,4.196951,0
"1213",18,701,2,5,24,0,5,403.5,311.5,16,7,304.423783,213.724702,6.146194,0
"1214",18,701,3,4,24,0,3,131,101,30,4.5,32.222436,21.241885,3.230669,0
"1215",18,702,1,8,26,0,2,166.5,127.5,10,6,61.356937,40.089631,1.742781,0
"1216",18,702,2,9,26,0,3,137.5,99.5,14,5.5,38.587212,23.365689,1.803551,0
"1217",18,702,3,9,26,0,3,133,97,12,5,36.841676,22.54929,1.538677,0
"1218",18,702,4,9,26,0,3,138,100,14,6,42.887702,26.019132,1.997822,0
"1219",18,703,1,11,45,0,5,128,114,0,4,24.13074,19.140814,0,0
"1220",18,703,2,9,26,0,3,146.5,103.5,16,5,41.239193,24.154852,2.056514,0
"1221",18,703,3,9,26,0,3,151.5,105.5,8,5,45.345384,26.027283,1.138211,0
"1222",18,703,4,9,26,0,3,132.5,84.5,12,4,32.424877,16.382265,1.35899,0
"1223",18,708,1,3,24,0,2,394.5,324.5,20,13.5,629.52365,480.220614,16.113887,0
"1224",18,708,2,3,24,0,2,289,226,13,13.5,348.913082,247.083878,7.958975,0
"1225",18,708,3,8,26,0,2,480.5,365.5,14,10.5,936.048813,627.906615,13.180344,0
"1226",18,708,4,8,26,0,2,450,348,14,10.5,789.503717,536.686614,11.854069,0
"1227",18,709,1,8,26,0,2,205.5,137.5,25,6,85.485701,46.342941,4.705847,0
"1228",18,709,2,8,26,0,2,155,111,16,6,54.812794,32.716688,2.594711,0
"1229",18,709,3,8,26,0,2,153.5,88.5,12,6,53.979217,23.387923,1.970227,0
"1230",18,709,4,6,25,0,2,248.5,188.5,10,6.5,151.023399,97.452632,3.394757,0
"1231",18,710,1,5,24,0,5,311.5,248.5,22,5,164.355584,119.476158,5.771942,0
"1232",18,711,1,8,26,0,5,248.5,200.5,6,4,111.028753,76.121152,1.300042,0
"1233",18,711,4,8,26,0,2,295.5,234.5,7,5,142.786898,98.591598,1.640828,0
"1234",18,711,2,8,26,0,2,273.5,184.5,7,5.5,158.912347,85.724468,1.970422,0
"1235",18,711,3,8,26,0,2,338,255,9,6.5,270.939134,176.659642,3.492588,0
"1236",18,713,1,6,25,0,2,354,306,11,9,448.952264,347.396704,7.856743,0
"1237",18,713,2,6,25,0,2,302,256,7,7.5,273.981153,207.173252,3.601803,0
"1238",18,713,3,6,25,0,2,248.5,194.5,9,6.5,164.967071,110.894647,3.34942,0
"1239",18,713,4,6,25,0,2,345.5,297.5,11,10.5,489.107119,376.762549,8.764056,0
"1240",18,714,1,6,25,0,2,136.5,97.5,6,6,44.559664,26.274612,1.090445,0
"1241",18,714,2,6,25,0,2,285.5,218.5,21,9,284.726374,189.230103,11.351655,0
"1242",18,714,3,6,25,0,2,231.5,192.5,10,8.5,187.03909,135.595859,4.501123,0
"1243",18,714,4,6,25,0,2,228,167,11,7.5,167.150074,102.905625,4.472321,0
"1244",18,715,1,12,45,0,4,178.5,155.5,0,4.5,34.604338,26.26122,0,0
"1245",18,715,2,11,45,0,3,86.5,72.5,0,3.5,10.248689,7.199662,0,0
"1246",18,716,1,12,45,0,4,250,223,0,5.5,105.548796,83.981377,0,0
"1247",18,716,2,11,45,0,5,197,176,0,3.5,51.299638,40.945595,0,0
"1248",18,716,3,12,45,0,4,164.5,143.5,0,5.5,69.663001,53.011998,0,0
"1249",18,716,4,12,45,0,4,246.5,217.5,0,5.5,72.587847,56.51303,0,0
"1250",18,718,1,6,25,0,2,271,237,21,6.5,167.66335,128.932258,7.016954,0
"1251",18,729,1,3,24,0,2,315,253,10,8,246.585332,180.834355,4.009641,0
"1252",18,729,2,4,24,0,3,174.5,149.5,28,5.5,62.295626,46.78836,4.630354,0
"1253",18,729,3,4,24,0,3,151.5,126.5,17,5.5,50.650958,36.903418,2.736097,0
"1254",18,729,4,4,24,0,3,141,109,10,4.5,35.933439,23.770685,1.266932,0
"1255",18,734,1,8,26,0,2,224.5,179.5,47,9,169.058681,116.771412,15.001251,0
"1256",18,734,2,8,26,0,2,153.5,127.5,36,6.5,59.907031,43.372519,5.840821,0
"1257",18,734,3,6,25,0,2,151,127,29,7.5,64.414091,46.883999,6.001106,0
"1258",18,734,4,6,25,0,2,219,182,40,11.5,201.378065,144.497809,18.004483,0
"1259",18,735,1,9,26,0,3,125.5,93.5,50,3.5,25.68254,16.179384,3.724322,0
"1260",18,735,2,9,26,0,3,164,128,52,4.5,52.407827,35.101724,6.470746,0
"1261",18,735,3,9,26,0,3,133.5,110.5,50,4,31.576027,22.764218,4.392149,0
"1262",18,735,4,9,26,0,3,126.5,96.5,40,3.5,26.713575,17.366756,3.291589,0
"1263",18,737,1,4,24,0,3,85.5,75.5,2,4,11.741988,9.128105,0.141575,0
"1264",18,737,2,4,24,0,3,102,93,32,5,18.589413,14.962775,2.374088,0
"1265",18,740,1,6,25,0,5,277,211,13,6,154.444405,102.005069,4.024554,0
"1266",18,740,2,6,25,0,2,378.5,309.5,18,10,538.095011,392.997566,14.200496,0
"1267",18,740,3,6,25,0,2,250,213,21,6.5,152.483393,113.787577,6.87669,0
"1268",18,740,4,6,25,0,5,139.5,112.5,22,4,35.128756,24.298343,2.777061,0
"1269",18,741,1,6,25,0,2,433,343,7,9.5,756.270475,530.486061,6.977501,0
"1270",18,741,2,6,25,0,2,439.5,363.5,13,6,435.560364,322.654193,7.265491,0
"1271",18,741,3,6,25,0,2,301,245,24,6,187.444485,134.871525,8.055427,0
"1272",18,743,1,6,25,0,2,225.5,194.5,17,6.5,129.304186,97.877145,5.274826,0
"1273",18,743,2,6,25,0,5,188.5,156.5,11,4.5,65.607247,47.020953,2.103978,0
"1274",18,743,3,6,25,0,5,210.5,168.5,7,6,91.391175,62.631208,1.708273,0
"1275",18,743,4,6,25,0,2,228,183,11,6.5,135.817573,94.265482,3.633978,0
"1276",18,744,1,4,24,0,3,110.5,98.5,50,5,22.446951,17.632938,3.641605,0
"1277",18,744,2,9,26,0,3,126.5,100.5,40,4.5,28.627267,19.614364,3.52739,0
"1278",18,749,1,2,21,0,3,188.5,174.5,73,6,71.661351,62.28837,10.859335,0
"1279",18,749,2,1,21,0,2,230.5,209.5,42,8.5,168.400224,146.222934,14.629074,0
"1280",18,749,3,1,21,0,2,174.5,153.5,41,7.5,90.422989,74.191042,9.644466,0
"1281",18,750,1,9,26,0,3,84,74,2,4,10.618165,8.232667,0.12263,0
"1282",18,751,1,9,26,0,3,168,130,45,6.5,60.765185,40.248795,6.592482,0
"1283",18,751,2,8,26,0,5,305,263,9,4,165.262998,126.286196,2.356133,0
"1284",18,751,3,9,26,0,3,149.5,110.5,32,4.5,41.266992,25.720593,3.730455,0
"1285",18,751,4,9,26,0,3,239,193,25,6,101.322248,69.539696,4.855502,0
"1286",18,755,1,2,21,0,3,144.5,127.5,54,5,40.663539,33.483482,6.027948,0
"1287",18,755,2,2,21,0,3,155.5,137.5,51,5.5,48.425608,39.974505,6.592921,0
"1288",18,755,3,1,21,0,5,133.5,119.5,20,4,30.117755,25.214925,2.215554,0
"1289",18,755,4,6,25,0,2,360,324,32,9.5,479.061988,388.04021,22.75997,0
"1290",18,757,1,13,58,0,2,218.5,189.5,0,12,152.094307,114.400653,0,0
"1291",18,757,4,13,58,0,3,97.5,85.5,0,10,21.266689,16.353958,0,0
"1292",18,757,2,13,58,0,2,135,120,0,11.5,57.755423,45.633914,0,0
"1293",18,757,3,13,58,0,2,206,182,0,11.5,142.52703,111.251422,0,0
"1294",18,758,1,9,26,0,3,132.5,100.5,42,6,35.505175,22.90841,4.382846,0
"1295",18,758,2,9,26,0,3,131,100,32,4.5,32.387101,21.073814,3.264122,0
"1296",18,758,3,9,26,0,3,135,101,36,4.5,34.224091,21.681869,3.699978,0
"1297",18,758,4,9,26,0,3,98,77,42,3.5,15.014748,10.143272,2.282425,0
"1298",18,759,1,9,26,0,3,129,102,42,4.5,32.065792,21.837923,4.037356,0
"1299",18,759,2,9,26,0,3,132,101,38,5,35.218751,22.987126,4.041831,0
"1300",18,759,3,9,26,0,3,157,119,29,4.5,49.911549,32.173871,3.981304,0
"1301",18,759,4,9,26,0,3,154.5,123.5,28,5,47.005999,32.457434,3.688482,0
"1302",18,760,1,9,26,0,3,143,113,66,5.5,41.46549,28.217239,6.595544,0
"1303",18,762,1,9,26,0,3,131.5,106.5,70,4.5,30.08326,21.115564,5.178224,0
"1304",18,762,2,9,26,0,3,89.5,73.5,52,3.5,11.917935,8.510041,2.139658,0
"1305",18,764,1,4,24,0,3,156.5,114.5,24,5.5,54.333595,33.398949,3.881928,0
"1306",18,764,2,4,24,0,3,152,114,22,5,50.874938,32.337382,3.454385,0
"1307",18,764,3,4,24,0,3,128.5,94.5,32,5,34.149289,21.139247,3.660823,0
"1308",18,766,1,11,45,0,5,131.5,117.5,0,4,25.434103,20.306761,0,0
"1309",18,766,2,11,45,0,5,159,144,0,4,36.832873,30.211086,0,0
"1310",18,767,1,4,24,0,3,144.5,109.5,34,3.5,37.380114,24.088461,3.830378,0
