"","PROVINCIA","ESTADILLO","NUMORDEN","TIPO","DIAMCOPA1","DIAMCOPA2","CORTEZA1","CORTEZA2","CRECIMI1","CRECIMI2","DIAMETR4","DIAMFF","ALTURFF","ALTUPV"
"1523",18,896,4,"4","2.5","2.6","7","5",NA,NA,NA,NA,NA,NA
"1524",18,897,1,"1","3.7","4.5","19","22","28","28","9",NA,NA,NA
"1525",18,897,2,"2","2.8","3.0","18","20","40","41",NA,"8","2.1","1.4"
"1526",18,897,3,"3","3.5","3.3","17","20","28","27",NA,"8","3.7","2.0"
"1527",18,897,4,"4","2.9","3.1","19","20","31","26",NA,"8","2.8","1.6"
"1528",18,906,1,"1","8.7","7.7","60","60","5","7",NA,NA,NA,NA
"1529",18,906,2,"2","6.4","10.3","60","60","7","7","42",NA,NA,NA
"1530",18,906,3,"3","7.0","7.2","50","60","8","9",NA,NA,NA,NA
"1531",18,906,4,"4","6.9","8.0","55","65","12","14","38",NA,NA,NA
"1532",18,907,1,"1","3.3","3.4","15","20","6","5",NA,NA,NA,NA
"1533",18,907,2,"2","6.0","6.2","50","55","11","6","21",NA,NA,NA
"1534",18,907,3,"3","9.5","7.9","35","42","6","5","42",NA,NA,NA
"1535",18,907,4,"4","10.1","9.2","23","45","11","11","41",NA,NA,NA
"1536",18,911,1,"1","11.1","9.5","25","22","9","10","37",NA,NA,NA
"1537",18,914,1,"1","3.5","4.2","18","16","11","10",NA,"8","3.7","1.2"
"1538",18,914,2,"2","2.5","2.7","12","11","12","12",NA,"8","1.4","0.8"
"1539",18,914,3,"3","2.0","2.1","11","9","15","15",NA,"8","1.5","0.8"
"1540",18,914,4,"4","2.7","2.2","11","10","7","7",NA,NA,NA,NA
"1541",18,916,1,"1","6.0","5.2","55","50","3","3","39",NA,NA,NA
"1542",18,916,2,"2","3.6","4.4","39","34","4","5","14",NA,NA,NA
"1543",18,916,3,"3","5.9","4.4","28","27","3","6",NA,NA,NA,NA
"1544",18,916,4,"4","2.9","2.8","23","26","10","8",NA,"8","3.2","2.5"
"1545",18,918,1,"1","6.2","7.3","21","23","8","10",NA,NA,NA,NA
"1546",18,918,2,"2","4.4","5.7","26","25","21","11",NA,NA,NA,NA
"1547",18,918,3,"3","3.3","3.3","15","13","6","6",NA,NA,NA,NA
"1548",18,918,4,"4","4.6","5.1","32","35","17","19","14",NA,NA,NA
"1549",18,920,1,"1","5.4","4.8","20","22","28","24","19",NA,NA,NA
"1550",18,920,2,"2","3.4","3.6","15","17","24","23","12",NA,NA,NA
"1551",18,920,3,"3","6.5","5.7","22","25","34","35","20",NA,NA,NA
"1552",18,920,4,"4","5.4","5.2","18","17","36","36","15",NA,NA,NA
"1553",18,921,1,"1","9.0","8.2","35","37","24","21","30",NA,NA,NA
"1554",18,921,2,"2","6.9","6.6","37","39","20","12",NA,NA,NA,NA
"1555",18,921,3,"3","6.2","5.3","31","34","28","22","19",NA,NA,NA
"1556",18,921,4,"4","4.0","4.4","30","32","24","23","12",NA,NA,NA
"1557",18,922,1,"1","5.9","6.8","50","55","5","4",NA,NA,NA,NA
"1558",18,922,2,"2","9.0","9.9","46","48","16","20",NA,NA,NA,NA
"1559",18,933,1,"1","5.1","5.5","34","45","9","14","19",NA,NA,NA
"1560",18,933,2,"2","8.6","8.2","16","30","12","19","23",NA,NA,NA
"1561",18,933,3,"3","6.5","6.9","20","23","15","16","28",NA,NA,NA
"1562",18,933,4,"4","4.6","6.5","38","39","9","12",NA,NA,NA,NA
"1563",18,934,1,"1","6.3","7.2","36","40","11","11","30",NA,NA,NA
"1564",18,934,2,"2","5.2","5.6","27","29","7","8","16",NA,NA,NA
"1565",18,934,3,"3","8.8","5.6","48","50","11","14","31",NA,NA,NA
"1566",18,934,4,"4","3.2","4.5","45","50","10","9","18",NA,NA,NA
"1567",18,935,1,"1","4.6","3.6","33","36","7","7","17",NA,NA,NA
"1568",18,935,2,"2","8.8","7.9","55","55","9","8","50",NA,NA,NA
"1569",18,935,3,"3","4.3","4.3","35","38","11","9","18",NA,NA,NA
"1570",18,935,4,"4","3.2","2.9","45","42","6","10",NA,NA,NA,NA
"1571",18,936,1,"1","7.1","5.2","37","42","7","10","29",NA,NA,NA
"1572",18,936,2,"2","7.0","7.6","40","35","9","8","35",NA,NA,NA
"1573",18,936,3,"3","5.9","5.8","40","41","9","8",NA,NA,NA,NA
"1574",18,936,4,"4","3.8","4.0","20","19","5","8","21",NA,NA,NA
"1575",18,937,1,"1","7.6","6.2","35","37","9","9","18",NA,NA,NA
"1576",18,937,2,"2","6.2","6.0","30","32","9","11","24",NA,NA,NA
"1577",18,937,3,"3","4.8","4.5","28","27","12","11","14",NA,NA,NA
"1578",18,937,4,"4","3.5","4.4","32","34","10","10","15",NA,NA,NA
"1579",18,954,1,"1","5.7","5.6","10","11",NA,NA,NA,NA,NA,NA
"1580",18,954,2,"2","5.8","4.8","11","11",NA,NA,NA,NA,NA,NA
"1581",18,954,3,"3","3.8","3.6","9","10",NA,NA,NA,"15","1.6",NA
"1582",18,954,4,"4","5.2","4.3","10","11",NA,NA,NA,NA,NA,NA
"1583",18,962,1,"1","10.6","9.0","23","25","12","13","52",NA,NA,NA
"1584",18,962,2,"2","10.1","7.7","37","50","8","7","53",NA,NA,NA
"1585",18,962,3,"3","6.0","7.3","27","22","6","7","24",NA,NA,NA
"1586",18,962,4,"4","3.9","4.3","18","16","5","5","15",NA,NA,NA
"1587",18,971,1,"1","6.0","4.8","20","21","12","12","22",NA,NA,NA
"1588",18,971,2,"2","4.3","4.5","15","10","15","21","12",NA,NA,NA
"1589",18,971,3,"3","5.5","4.5","23","25","19","15","15",NA,NA,NA
"1590",18,971,4,"4","5.0","3.9","20","22","15","16","20",NA,NA,NA
"1591",18,973,1,"1","4.2","4.9","13","12",NA,NA,NA,"18","3.2",NA
"1592",18,973,2,"2","6.6","5.8","16","19",NA,NA,"31",NA,NA,NA
"1593",18,973,3,"3","3.8","3.2","10","12",NA,NA,NA,NA,NA,NA
"1594",18,973,4,"4","3.1","1.8","10","10",NA,NA,NA,"8","3.2","1.4"
"1595",18,977,1,"1","7.5","6.3","36","46","7","6","30",NA,NA,NA
"1596",18,977,2,"2","5.6","5.5","29","32","4","5","13",NA,NA,NA
"1597",18,977,3,"3","7.5","6.0","32","32","5","5","18",NA,NA,NA
"1598",18,977,4,"4","3.4","3.6","25","26","6","7",NA,"8","3.6","1.6"
"1599",18,985,1,"1","3.7","3.3","21","20","16","21",NA,"8","3.1","1.5"
"1600",18,985,2,"2","7.2","6.9","37","39","13","10","34",NA,NA,NA
"1601",18,985,3,"3","8.2","7.1","50","55","11","5","34",NA,NA,NA
"1602",18,985,4,"4","8.2","8.2","45","37","5","4",NA,NA,NA,NA
"1603",18,988,1,"1","3.1","2.8","30","34","11","15","26",NA,NA,NA
"1604",18,988,2,"2","4.0","4.5","37","40","17","16","29",NA,NA,NA
"1605",18,988,3,"3","3.2","2.9","30","35","10","12","14",NA,NA,NA
"1606",18,988,4,"4","2.6","3.0","20","25","9","10","11",NA,NA,NA
"1607",18,994,1,"1","5.0","4.9","23","25","7","8","12",NA,NA,NA
"1608",18,994,2,"2","4.2","4.7","23","25","6","9","8",NA,NA,NA
"1609",18,994,3,"3","3.6","3.9","18","20","12","11",NA,"8","2.8","1.6"
"1610",18,994,4,"4","2.7","3.3","20","21","8","10",NA,"8","3.1","2.2"
