"","COD_LINEA","ESTRATO","ESPECIE","LIT_LINEA","CANT_P_MA","AREAB","VCC","VSC","IAVC","VLE"
"275",4,4,0,"30",29.66,2.0703636,11.1781675,8.4532151,0.3379489,0.7158308
"276",4,4,0,"35",15.5,1.4431674,8.6200685,6.5357864,0.2381886,0.4856336
"277",4,4,0,"40",7.88,0.9738469,5.8446087,4.4684676,0.1513828,0.3503763
"278",4,4,0,"45",3.43,0.5441165,3.3496742,2.574671,0.0770258,0.2123375
"279",4,4,0,"50",1.18,0.2316872,1.4771565,1.138357,0.0352111,0.0959318
"280",4,4,0,"55",0.79,0.1931251,1.2612082,0.9786392,0.0278463,0.0806285
"281",4,4,0,"60",0.59,0.1693706,0.9448038,0.7440835,0.0192578,0.086326
"282",4,4,0,"65",0.2,0.0638568,0.3112216,0.2462272,0.003976,0.0369806
"283",4,4,0,"70",0.59,0.3023066,1.5214017,1.2534495,0.0127677,0.219752
"284",5,4,0,"TOTALES",389.41,12.8814225,60.4898503,45.5009845,2.2753735,4.4795174
"285",6,4,0,"S2 (X)",202055.13,219.09,11240.29,6156.1,10.93,25.62
"286",1,5,21,"10",154.75,1.2819934,2.8140077,2.166964,0.2731104,0.3849731
"287",1,5,21,"15",87.66,1.4173776,4.092308,3.2243405,0.3612216,0.4465152
"288",1,5,21,"20",14.69,0.4323962,1.5081832,1.2200244,0.0977105,0.1422349
"289",1,5,21,"25",1.31,0.0553343,0.2024124,0.1665522,0.0108217,0.0186842
"290",2,5,21,"TOTALES",258.41,3.1871015,8.6169113,6.7778811,0.7428642,0.9924074
"291",3,5,21,"S2 (X)",199716.17,30.43,252.3,158.19,1.75,2.96
"292",1,5,24,"25",0.22,0.0099283,0.0385351,0.0282325,0.0013552,0.0035229
"293",2,5,24,"TOTALES",0.22,0.0099283,0.0385351,0.0282325,0.0013552,0.0035229
"294",3,5,24,"S2 (X)",3.07,0,0.09,0.05,0,0
"295",1,5,25,"10",162.58,1.2148396,2.7138736,1.8660748,0.2686366,0.2572233
"296",1,5,25,"15",70.52,1.1828303,3.8006038,2.5461562,0.2918153,0.2944217
"297",1,5,25,"20",19.59,0.5791472,2.3603203,1.6534264,0.1102812,0.1617052
"298",1,5,25,"25",9.79,0.4704452,1.8944481,1.3675104,0.0676936,0.1449688
"299",1,5,25,"30",3.7,0.2595136,1.1852609,0.8753745,0.0347512,0.0864275
"300",1,5,25,"35",2.83,0.2633911,1.0951989,0.814237,0.0301703,0.0929335
"301",1,5,25,"40",0.65,0.0792971,0.330873,0.248084,0.0084088,0.0295495
"302",1,5,25,"45",0.55,0.0858503,0.4203186,0.3186859,0.0095961,0.0336923
